dest_ip,cmdb_bu_owner,cmdb_application_name,cmdb_system_owner,cmdb_app_lifecycle,cmdb_s_ox,cmdb_GLBA,cmdb_app_uses_ssn,cmdb_credit_card_data,cmdb_priority,cmdb_server_software,cmdb_supported_by,cmdb_server_phase,cmdb_db_server,cmdb_db_name,cmdb_PCI,cmdb_PII,cmdb_safe_harbor
1.19.11.11,Support,Laptop,Angelina_Jolie@acme.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
27.1.0.0,eCommerce,Apache,Billy_Williams@acme.com,Staging,No,No,No,No,Tier 1,RedHat 6.1,Internal,Deployed,N,N/A,Yes,No ,No
27.1.11.11,eCommerce,Apache,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,RedHat 6.1,IBM,Supporting,N,N/A,Yes,No ,No
27.35.0.0,eCommerce,Apache,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,RedHat 6.1,IBM,Supporting,N,N/A,Yes,No ,No
27.35.11.11,eCommerce,Apache,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,RedHat 6.1,IBM,Supporting,N,N/A,Yes,No ,No
27.96.128.0,eCommerce,F5,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,F5,IBM,Supporting,N,N/A,Yes,No ,No
27.96.191.11,eCommerce,F5,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,F5,IBM,Supporting,N,N/A,Yes,No ,No
27.101.0.0,Finance,Desktop,Cindy_Barron@acme.com,Production,Yes,Yes,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
27.101.11.11,Finance,Desktop,Jackie_Thompson@acme.com,Production,Yes,Yes,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
27.102.0.0,Finance,Desktop,Shell_help@shell.com,Production,Yes,Yes,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
27.102.11.11,Operations,GasPump1,Shell_help@shell.com,Production,No,No,No,Yes,Tier 3,unix-solaris (10),Shell,Supporting,N,N/A,Yes,Yes,No
27.160.0.0,Operations,GasPump2,Shell_help@shell.com,Production,No,No,No,Yes,Tier 3,unix-solaris (10),Shell,Supporting,N,N/A,Yes,Yes,No
27.175.11.11,Operations,Cisco PBX,infra@acme.com,Production,No,No,No,No,Tier 2,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
27.176.0.0,Operations,Cisco PBX,infra@acme.com,Production,No,No,No,No,Tier 2,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
193.33.170.23,Operations,Laptop,Sam_Perkins@acme.com,,No,No,No,No,Tier 3,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
194.146.236.22,Operations,Laptop,Phil_Silvers@acme.com,,No,No,No,No,Tier 3,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
194.8.74.23,Operations,Laptop,Buster_Keaton@acme.com,,No,No,No,No,Tier 3,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
195.216.243.24,Operations,Laptop,Tim_burton@acme.com,,No,No,No,No,Tier 3,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
195.69.160.22,Operations,Laptop,Jim_hendrix@acme.com,,No,No,No,No,Tier 3,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
195.69.252.22,Operations,Laptop,Angelina_Jolie@acme.com,,No,No,No,No,Tier 3,unix-solaris (10),IBM,Supporting,N,N/A,No ,No ,No
195.80.144.22,Mail,Exchange,Billy_Williams@acme.com,,No,No,No,No,Tier 2,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
200.6.134.23,Mail,Exchange,helpdesk@ibm.com,,No,No,No,No,Tier 2,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
202.164.25.24,,Apache,helpdesk@ibm.com,,No,No,No,No,Tier 3,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
203.223.0.20,,Laptop,helpdesk@ibm.com,,No,No,No,No,Tier 3,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
217.197.192.20,Operations,Laptop,helpdesk@ibm.com,,No,No,No,No,Tier 2,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
62.216.64.19,Operations,AD,helpdesk@ibm.com,,No,No,No,No,Tier 2,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
64.66.0.20,eCommerce,Apache,Cindy_Barron@acme.com,Production,Yes,Yes,Yes,Yes,Tier 1,RedHat 6.1,Internal,Deployed,N,N/A,Yes,Yes,No
69.80.0.18,eCommerce,Apache,Jackie_Thompson@acme.com,Production,Yes,Yes,Yes,Yes,Tier 1,RedHat 6.1,Internal,Deployed,N,N/A,Yes,Yes,No
87.240.128.18,Support,Laptop,Shell_help@shell.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
89.11.192.18,Support,Laptop,Shell_help@shell.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
91.199.80.24,Support,Laptop,Shell_help@shell.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
91.205.40.22,eCommerce,Apache,infra@acme.com,Staging,No,No,No,No,Tier 1,RedHat 6.1,Internal,Deployed,N,N/A,Yes,No ,No
91.208.184.24,eCommerce,Apache,infra@acme.com,Production,No,No,No,Yes,Tier 1,RedHat 6.1,IBM,Supporting,N,N/A,Yes,No ,No
91.214.92.22,eCommerce,Apache,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,RedHat 6.1,IBM,Supporting,N,N/A,Yes,No ,No
94.229.0.20,eCommerce,Apache,helpdesk@ibm.com,Production,No,No,No,Yes,Tier 1,RedHat 6.1,IBM,Supporting,N,N/A,Yes,No ,No
94.229.0.21,Sales,Laptop,June_Lockhart@acme.com,Production,No,No,Yes,Yes,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
